"title","level","service","category","description","id"
"CobaltStrike Service Installations - Security","high","security","","Detects known malicious service installs that appear in cases in which a Cobalt Strike beacon elevates privileges or lateral movement","3d2e9eef-8851-f3ed-49e1-53e350e277cb"
"Suspicious PowerShell Invocations - Specific","high","powershell","","Detects suspicious PowerShell invocation command parameters","3db961f4-6217-4957-b717-e5955c82d6e5"
"Invoke-Obfuscation Via Use MSHTA - Security","high","security","","Detects Obfuscated Powershell via use MSHTA in Scripts","3dc2d411-4f0e-6564-d243-8351afd3d375"
"Tamper Windows Defender - PSClassic","high","","ps_classic_provider_start","Attempting to disable scheduled scanning and other parts of Windows Defender ATP or set default actions to allow.","3ec981cc-6521-d6a9-9630-d1df7d2090b9"
"DNS Server Error Failed Loading the ServerLevelPluginDLL","high","dns-server","","Detects a DNS server error in which a specified plugin DLL (in registry) could not be loaded","40077f9e-f597-1087-0c4f-8901d1a07af4"
"Abnormal Logon Proc Registered With LSA","informational","security","","A logon process has registered with the Local Security Authority (LSA). Logon requests will now be accepted from this source. Technically, the event does not come from the registration of a trusted logon process, but from a confirmation that the process is a trusted logon process. If it is a trusted logon process, the event generates. A logon process is a trusted part of the OS that handles logon methods (network, interactive, etc.)","41ca6049-dd12-462c-a772-7bba78d8e2f0"
"Outbound Network Connection Initiated By Cmstp.EXE","high","","network_connection","Detects a network connection initiated by Cmstp.EXE
Its uncommon for ""cmstp.exe"" to initiate an outbound network connection. Investigate the source of such requests to determine if they are malicious.
","41d54b25-deb6-4ea3-fbac-3f5b6e200939"
"CryptoDPAPI Decrypt","informational","","","Detects whenever SPCryptUnprotect is called in the Microsoft-Windows-Crypto-DPAPI/Debug event log.","420d5d28-78ed-4e43-844a-94ce69db378c"
"Dfsvc.EXE Initiated Network Connection Over Uncommon Port","high","","network_connection","Detects an initiated network connection over uncommon ports from ""dfsvc.exe"". A utility used to handled ClickOnce applications.","4255ccee-f954-7d80-4281-d5a5fe9ea9f7"
"Suspicious PsExec Execution","high","security","","detects execution of psexec or paexec with renamed service name, this rule helps to filter out the noise if psexec is used for legit purposes or if attacker uses a different psexec client other than sysinternal one","426009da-814c-c1c0-cf41-6631c9ff6a8e"
"Possible Exploitation of Exchange RCE CVE-2021-42321","high","msexchange-management","","Detects log entries that appear in exploitation attempts against MS Exchange RCE CVE-2021-42321","429ee035-2f74-8a92-ad19-a448e450bb5e"
"Kerberoasting Activity - Initial Query","medium","security","","This rule will collect the data needed to start looking into possible kerberoasting activity.
Further analysis or computation within the query is needed focusing on requests from one specific host/IP towards multiple service names within a time period of 5 seconds.
You can then set a threshold for the number of requests and time between the requests to turn this into an alert.
","4386b4e0-f268-42a6-b91d-e3bb768976d6"
"ProxyLogon MSExchange OabVirtualDirectory","critical","msexchange-management","","Detects specific patterns found after a successful ProxyLogon exploitation in relation to a Commandlet invocation of Set-OabVirtualDirectory","469804e4-bb11-7cb1-96ce-f7687daa98a0"
"Remove Exported Mailbox from Exchange Webserver","high","msexchange-management","","Detects removal of an exported Exchange mailbox which could be to cover tracks from ProxyShell exploit","47e67dfc-354a-0989-f6b1-f3f888a31278"
"Suspicious Application Installed","medium","shell-core","","Detects suspicious application installed by looking at the added shortcut to the app resolver cache","487f5b43-6155-d21c-7189-1a6108974f1b"
"Rundll32 Internet Connection","medium","","network_connection","Detects a rundll32 that communicates with public IP addresses","4a7137e3-d863-49dd-6199-5ca7722de62e"
"Suspicious Access to Sensitive File Extensions","medium","security","","Detects known sensitive file extensions accessed on a network share","4af39497-9655-9586-817d-94f0df38913f"
"Win RM Session Created","informational","","","","4f321a68-176a-4f1d-873a-8793bc49e3b0"
"NTLM Auth","informational","security","","Logged when NTLM authentication is used usually for local accounts but NTLM can also be used with domain accounts. The original event title says it is only generated on domain controllers but that is not true. This also gets logged on clients.","4fbe94b0-577a-4f77-9b13-250e27d440fa"
"RDP to HTTP or HTTPS Target Ports","high","","network_connection","Detects svchost hosting RDP termsvcs communicating to target systems on TCP port 80 or 443","5049ed9f-e700-a499-9498-5e648851d2ad"
"ADCS - Certighost Certificate Issued via CDC Chase (CVE-2026-54121)","high","security","","Detects successful issuance of an ADCS certificate where the request attributes include
'cdc' (Client DC) or 'rmd' (Remote Domain) pointing to a non-DC domain or IP, confirming the
CA's chase fallback path was taken against an attacker-controlled target.

'cdc' directs the CA to an address for identity lookup; 'rmd' specifies the principal to
look up there. In an attack (CVE-2026-54121, Certighost), cdc points to a rogue host that
returns a forged DC identity. A successfully issued certificate at this stage means the
attacker has obtained a cert carrying a Domain Controller's SID and DNS identity, enabling
PKINIT authentication as that DC followed by DCSync replication.
","50f06a12-50cc-fd71-7b01-80a01d9e9418"
"Suspicious Wordpad Outbound Connections","medium","","network_connection","Detects a network connection initiated by ""wordpad.exe"" over uncommon destination ports.
This might indicate potential process injection activity from a beacon or similar mechanisms.
","510d0486-0545-9178-93cb-5f5a8c75930b"
"RDP Conn Attempt","informational","","","","512e70f5-bf70-4de1-9375-2174999a7f8d"
"Scheduled Tasks Names Used By SVR For GraphicalProton Backdoor - Task Scheduler","high","taskscheduler","","Hunts for known SVR-specific scheduled task names","51850e92-9de2-230e-98f6-5775d63df091"
"CVE-2021-1675 Print Spooler Exploitation IPC Access","critical","security","","Detects remote printer driver load from Detailed File Share in Security logs that are a sign of successful exploitation attempts against print spooler vulnerability CVE-2021-1675 and CVE-2021-34527","52b5923e-1ef2-aaad-5513-3c830f3c5850"
"Device Installation Blocked","medium","security","","Detects an installation of a device that is forbidden by the system policy","53f7ff98-38dd-f02c-0658-1debbf8deddc"
"HybridConnectionManager Service Installation","high","security","","Rule to detect the Hybrid Connection Manager service installation.","54f9b4d2-3f4a-675f-58d6-9995ae58f988"
"DC Machine Account TGS Request from Non-DC Source IP","high","security","","Detects a Kerberos service ticket request (Event 4769) targeting a Domain Controller
machine account's service (e.g. DRSUAPI) originating from an IP address that is not a
known Domain Controller. Service tickets for DC machine accounts should only be requested
by other DCs during legitimate replication operations.

An attacker with a valid TGT (obtained via PKINIT, overpass-the-hash, or stolen TGT)
targeting a DC machine account's service from a workstation IP indicates preparation for
DCSync or impersonation of a DC. Unlike Silver Ticket attacks (which forge the TGS and
bypass this event), this rule catches attacks that go through the KDC legitimately.

This rule requires %dc_machine_accounts% and %dc_ip_addresses% to be populated with
all known DC machine account names and DC IP addresses respectively.
","55afdafd-6418-740a-1cdf-0788609efb5b"
"Windows Pcap Drivers","medium","security","","Detects Windows Pcap driver installation based on a list of associated .sys files.","566fa294-85f7-af27-80c7-753d9941729b"
"Password Protected ZIP File Opened (Suspicious Filenames)","high","security","","Detects the extraction of password protected ZIP archives with suspicious file names. See the filename variable for more details on which file has been opened.","586bcb8e-f698-f372-54cf-ff08727352e7"
"Suspicious Epmap Connection","high","","network_connection","Detects suspicious ""epmap"" connection to a remote computer via remote procedure call (RPC)","58a2d80c-c77b-324c-640d-c97cf5fcbefa"
"Remote Access Tool - AnyDesk Incoming Connection","medium","","network_connection","Detects incoming connections to AnyDesk. This could indicate a potential remote attacker trying to connect to a listening instance of AnyDesk and use it as potential command and control channel.
","5a099129-36a4-b13b-5345-9f37b231fb5c"
"Reconnaissance Activity","high","security","","Detects activity as ""net user administrator /domain"" and ""net group domain admins /domain""","5ac4b7f8-9412-f919-220c-aa8a1867b1ef"
"Process Ran With High Privilege","medium","security","","Malware may generate a 4673 event (A privileged service was called) when dumping hashes or wiping disk. 
For example, mimikatz will generate 4 logs using SeTcbPrivilege (Act as part of the OS.) 
Disk wipers like bcwipe will also generate this.
More legitimate filepaths may have to be added to the filter.
This is marked as a medium alert as there is a high possibility for false positives.
","5b6e58ee-c231-4a54-9eee-af2577802e08"
"AppX Located in Known Staging Directory Added to Deployment Pipeline","high","appxdeployment-server","","Detects an appx package that was added to the pipeline of the ""to be processed"" packages that is located in a known folder often used as a staging directory.
","5bb0ef8b-3b9d-8a3c-30c2-0a787e54184a"
"DC Machine Account TGT Request from Non-DC Source IP","high","security","","Detects a Kerberos TGT request (Event 4768) for a known Domain Controller machine account
originating from an IP address that is not a known Domain Controller. DC machine accounts
should only request TGTs from their own IP. Any TGT request for a DC account from a
workstation or non-DC host is anomalous and indicates one of the following:

  - PKINIT abuse (CVE-2026-54121 / Certighost): attacker authenticating as a DC via a
    forged certificate from their workstation
  - Overpass-the-Hash: attacker converting a stolen DC machine account NTLM hash into a
    Kerberos TGT
  - Pass-the-Hash (RC4): attacker using the DC machine account hash directly with Kerberos
","5c14854d-b6ca-79bc-c43a-ddf354a14d62"
"Active Directory Replication from Non Machine Account - DcSync Indicator","medium","security","","Detects potential abuse of Active Directory Replication Service (ADRS) from a non machine account to request credentials.","5c8e2537-5c7f-56d8-de80-1f0746b61067"
"AppX Package Deployment Failed Due to Signing Requirements","medium","appxdeployment-server","","Detects an appx package deployment / installation with the error code ""0x80073cff"" which indicates that the package didn't meet the signing requirements.
","5cfde458-a9e1-f4b7-92cd-959ead47bdd3"
"Logon Proc Registered With LSA","informational","security","","A logon process has registered with the Local Security Authority (LSA). Logon requests will now be accepted from this source. Technically, the event does not come from the registration of a trusted logon process, but from a confirmation that the process is a trusted logon process. If it is a trusted logon process, the event generates. A logon process is a trusted part of the OS that handles logon methods (network, interactive, etc.)","614c150b-905d-4071-9b8e-0425e370c493"
"Credential Dumping Tools Service Execution - Security","high","security","","Detects well-known credential dumping tools execution via service execution events","633bd649-4b18-b5bd-d923-07caeccd1ee0"
"Invoke-Obfuscation CLIP+ Launcher - Security","high","security","","Detects Obfuscated use of Clip.exe to execute PowerShell","660a0229-700e-8e43-40c7-fafe60c29491"
"Lateral Movement Indicator ConDrv","low","security","","This event was observed on the target host during lateral movement. The process name within the event contains the process spawned post compromise. Account Name within the event contains the compromised user account name. This event should to be correlated with 4624 and 4688 for further intrusion context.","6683ccd7-da7a-b988-1683-7f7a1bf72bf6"
"Possible Impacket SecretDump Remote Activity","high","security","","Detect AD credential dumping using impacket secretdump HKTL","677980bc-7dcc-1f9a-e161-a7f310ec9652"
"Network Connection Initiated By Regsvr32.EXE","medium","","network_connection","Detects a network connection initiated by ""Regsvr32.exe""","6814d247-c70b-e49e-6553-149fc21c3a81"
"Mailbox Export to Exchange Webserver","critical","msexchange-management","","Detects a successful export of an Exchange mailbox to untypical directory or with aspx name suffix which can be used to place a webshell or the needed role assignment for it","684f5f59-5de0-7d7a-e983-1e2758d383d6"
"Rare Scheduled Task Creations","low","taskscheduler","","This rule detects rare scheduled task creations. Typically software gets installed on multiple systems and not only on a few. The aggregation and count function selects tasks with rare names.","696cf23d-d3f2-0a4d-6aff-b162d692a778"
"Recursive DNS Response","informational","dns-server-analytic","","","6db38b96-3772-4cbf-a8ad-c65d8ac5134e"
"RDP Conn (Noisy)","informational","","","This event is generated when anyone connects to RDP and sends data. It does not need to be a legitimate RDP connection.
Unfortunately, there are no details about the remote machine.
This event is noisy and will generate a lot of logs and is of limited investigative value.
If you see a large number of these events, but not successful logon events with EID 1149, etc... then it may indicate a brute force attack.
The Security event log will have more information so this event is only useful if the Security event logs are not available.
","6dbed1df-f08a-47ab-9a58-999c0787d034"
"Group Policy Abuse for Privilege Addition","medium","security","","Detects the first occurrence of a modification to Group Policy Object Attributes to add privileges to user accounts or use them to add users as local admins.
","6e3066ef-54e1-9d1b-5bc6-9ae6947ae271"
"Dfsvc.EXE Network Connection To Non-Local IPs","medium","","network_connection","Detects network connections from ""dfsvc.exe"" used to handled ClickOnce applications to non-local IPs","713fd43d-88e4-6801-2eac-756d06792d4f"
"DPAPI Domain Master Key Backup Attempt","medium","security","","Detects anyone attempting a backup for the DPAPI Master Key. This events gets generated at the source and not the Domain Controller.","725b729a-b3ea-fb14-9cad-a4e944af8b5d"
"Windows AppX Deployment Unsigned Package Installation","medium","appxdeployment-server","","Detects attempts to install unsigned MSIX/AppX packages using the -AllowUnsigned parameter via AppXDeployment-Server events","73007262-0bee-b885-c2ec-0d42700ea430"
"Transferring Files with Credential Data via Network Shares","medium","security","","Transferring files with well-known filenames (sensitive files with credential data) using network shares","73d3720b-e4f3-d7e1-2a3f-8ca0a5e1fc1b"
"Invalid Users Failing To Authenticate From Source Using Kerberos","medium","security","","Detects failed logins with multiple invalid domain accounts from a single source system using the Kerberos protocol.","74eaa0ee-05a7-86a5-a7a8-076952aa764d"
"Standard User In High Privileged Group","medium","lsa-server","","Detect standard users login that are part of high privileged groups such as the Administrator group","7536b3d3-6765-4433-9269-2d460cb10adf"
"Windows Filtering Platform Blocked Connection From EDR Agent Binary","high","security","","Detects a Windows Filtering Platform (WFP) blocked connection event involving common Endpoint Detection and Response (EDR) agents.
Adversaries may use WFP filters to prevent Endpoint Detection and Response (EDR) agents from reporting security events.
","764518e5-4160-b679-1946-cbd0e76705da"
"Protected Storage Service Access","high","security","","Detects access to a protected_storage service over the network. Potential abuse of DPAPI to extract domain backup keys from Domain Controllers","7695295d-281f-23ce-d52e-8336ebd47532"
"Password Protected ZIP File Opened (Email Attachment)","high","security","","Detects the extraction of password protected ZIP archives. See the filename variable for more details on which file has been opened.","77366099-d04a-214d-365c-c62c537df3ba"
"Communication To Uncommon Destination Ports","medium","","network_connection","Detects programs that connect to uncommon destination ports","7983db98-5767-b29d-2652-a01fd3e751ad"
"Potentially Suspicious Malware Callback Communication","high","","network_connection","Detects programs that connect to known malware callback ports based on statistical analysis from two different sandbox system databases
","7ac85830-5907-5206-2d25-490b3ace5587"
"Office Application Initiated Network Connection To Non-Local IP","medium","","network_connection","Detects an office application (Word, Excel, PowerPoint)  that initiate a network connection to a non-private IP addresses.
This rule aims to detect traffic similar to one seen exploited in CVE-2021-42292.
This rule will require an initial baseline and tuning that is specific to your organization.
","7c154a7f-01a0-3b2e-927d-32c452139322"
"Uncommon Outbound Kerberos Connection","medium","","network_connection","Detects uncommon outbound network activity via Kerberos default port indicating possible lateral movement or first stage PrivEsc via delegation.
","7c743e5c-7a9d-ba96-9ada-1d17687e2a6d"
"Remote AppX Package Downloaded from File Sharing or CDN Domain","high","appxdeployment-server","","Detects an appx package that was added to the pipeline of the ""to be processed"" packages which was downloaded from a file sharing or CDN domain.
","7de9c1d0-7b8e-8196-8137-8dcc13c6e960"
"Password Protected ZIP File Opened","medium","security","","Detects the extraction of password protected ZIP archives. See the filename variable for more details on which file has been opened.","7e1daab0-3263-403e-ec26-de48e3bf22c3"
"Local Network Connection Initiated By Script Interpreter","medium","","network_connection","Detects a script interpreter (Wscript/Cscript) initiating a local network connection to download or execute a script hosted on a shared folder.
","7e448677-939e-f6d0-e901-91843a3888d7"
"RDP over Reverse SSH Tunnel WFP","high","security","","Detects svchost hosting RDP termsvcs communicating with the loopback address","810804a5-98c3-7e56-e8ed-8a95d72ad829"
"RDP Over Reverse SSH Tunnel","high","","network_connection","Detects svchost hosting RDP termsvcs communicating with the loopback address and on TCP port 3389","81ca22c3-fdfd-6c3a-051f-dc404488536c"
"Invoke-Obfuscation RUNDLL LAUNCHER - Security","medium","security","","Detects Obfuscated Powershell via RUNDLL LAUNCHER","826feb8b-536b-0302-0b4e-bd34cc5c4923"
"CosmicDuke Service Installation","critical","security","","Detects the installation of a service named ""javamtsup"" on the system.
The CosmicDuke info stealer uses Windows services typically named ""javamtsup"" for persistence.
","8428d90d-a928-f70a-c46e-f08457d6b01f"
"Windows Default Domain GPO Modification","medium","security","","Detects modifications to Default Domain or Default Domain Controllers Group Policy Objects (GPOs).
Adversaries may modify these default GPOs to deploy malicious configurations across the domain.
","848c3317-9b29-5241-aae9-ceb41ce11177"
"Remote Access Tool Services Have Been Installed - Security","medium","security","","Detects service installation of different remote access tools software. These software are often abused by threat actors to perform","85e291ec-b85b-2553-1aba-03c9ad116b61"
"DCOM InternetExplorer.Application Iertutil DLL Hijack - Security","high","security","","Detects a threat actor creating a file named `iertutil.dll` in the `C:\Program Files\Internet Explorer\` directory over the network for a DCOM InternetExplorer DLL Hijack scenario.","85e72fe3-83af-8ed9-39d3-2883e46059f1"
"Msiexec.EXE Initiated Network Connection Over HTTP","low","","network_connection","Detects a network connection initiated by an ""Msiexec.exe"" process over port 80 or 443.
Adversaries might abuse ""msiexec.exe"" to install and execute remotely hosted packages.
Use this rule to hunt for potentially anomalous or suspicious communications.
","8696ae22-70c1-ca19-4888-66ed19ea27da"
"HybridConnectionManager Service Running","high","microsoft-servicebus-client","","Rule to detect the Hybrid Connection Manager service running on an endpoint.","871bc844-4977-a864-457b-46cfba6ddb65"
"Invoke-Obfuscation Via Use Rundll32 - Security","high","security","","Detects Obfuscated Powershell via use Rundll32 in Scripts","89d88072-7a24-8218-a044-0c071bf36bf6"
"New RDP Connection Initiated From Domain Controller","high","","network_connection","Detects an RDP connection originating from a domain controller.","8b0f1458-5a23-5950-ebc7-f8d7a562dc06"
"Possible Shadow Credentials Added","high","security","","Detects possible addition of shadow credentials to an active directory object.","8bcf1772-4335-28e1-e320-5ce48b15ae9f"
"PowerShell Scripts Installed as Services - Security","high","security","","Detects powershell script installed as a Service","8c3523c1-357b-5653-335a-9db3ecfcbc2a"
"NetShare File Access","informational","security","","","8c6ec2b2-8dad-4996-9aba-d659afc1b919"
"Office App PopUp","informational","security","","Displays the dialog box message that popped up in Office Activated App for the user.","8cab5688-ca77-483d-a295-56dd6c1db944"
"Office Application Initiated Network Connection Over Uncommon Ports","medium","","network_connection","Detects an office suit application (Word, Excel, PowerPoint, Outlook) communicating to target systems over uncommon ports.","8cf1b63a-f161-0e51-a9d2-cc697d06a5a4"
"Network Connection Initiated By AddinUtil.EXE","high","","network_connection","Detects a network connection initiated by the Add-In deployment cache updating utility ""AddInutil.exe"".
This could indicate a potential command and control communication as this tool doesn't usually initiate network activity.
","8d993d6b-e44b-0df0-91c0-6093975b69f8"
